"user","ecletic","clusters_total","clusters","media_pop","mediana_pop","dp_pop","news","news_total","old","old_total","count_sim.x","tempo_sim.x","count_pop.x","tempo_pop.x","count_sim.y","tempo_sim.y","count_pop.y","tempo_pop.y"
"81599517",3144.8944818,146,59,5.41402642016,5.60587259868,0.79991788846,29,29,178,213,0.0419235830417449,-0.0301568465227055,-0.00246609312010264,0.035182987609823,0.237573500517928,0.194934762602918,0.319517301498711,0.235920066917734
"870418",972.199003239,67,19,5.03156793486,4.99903750342,0.760802225385,24,24,75,94,0.0434782608695652,0.224846875206644,-0.101449275362319,-0.142403020964208,0.251849379969687,0.133023205415612,0.0519574652086461,-0.00363451380916973
"87KaMIL87",2529.3050469,87,42,4.79225617498,4.86205978641,0.880770336026,64,64,98,122,-0.030799835495345,-0.0194271632585547,0.0575396825396825,0.0343199493606601,0.0478096135872792,0.0804159417707031,0.099178809659549,0.029620691948927
"88marcus",490.535536486,31,10,5.61548443109,5.73281739238,0.61459731266,12,12,64,68,-0.0303030303030303,-0.290084787862418,-0.303030303030303,0.0152676204138115,0.23140205654919,0.295082294907015,-0.0303559687086034,-0.024838577012375
"90degreeA",2681.71976141,120,58,5.50822981193,5.57328074673,0.562205002276,37,37,69,72,0.097670951683562,0.214505426335726,-0.151765632615996,-0.223569035899207,-0.0652870010918053,-0.058345266375112,0.00981438578504263,0.0137282979706146
"a-d-t-r",897.284623776,33,14,5.79106551723,5.85794438411,0.503731397447,21,21,91,97,-0.0047732832841294,-0.100238948966717,-0.262530580627117,-0.100238948966717,0.128465015001069,0.0714549447371442,0.100134327282202,0.225621435094681
"a-ost",2221.21635005,89,45,5.55546987283,5.69213296764,0.707638479167,11,11,200,213,-0.293590337367029,-0.146795168683515,0.0366987921708787,-0.0366987921708787,0.356176835610043,0.387858932288458,0.263820837731999,0.237000095436939
"a____________",1899.26701793,59,33,5.19232173532,5.20360142567,0.733747846416,62,62,227,261,0.262503316944125,0.241041643552892,-0.134355995177799,-0.0891488455027542,0.200667330132447,0.204756639810513,-0.0443482387926858,-0.0623133267020216
"A_Gati",2731.09240289,100,41,5.15712961152,5.1514035627,0.826907713919,58,59,35,61,0.10905786625838,0.2437888239388,0.139830534092975,0.230585475410801,0.0371311322197074,-0.0762254821542761,0,0
"a_green",714.490941906,44,14,5.97418836559,6.08788714003,0.474457352584,12,12,72,72,0.0606060606060606,0.0909090909090909,0.212121212121212,0.121212121212121,0.0399530240589545,0.0572125537169812,-0.032119097772885,-0.0280144228545218
"a_kozhevnikov",643.553461883,31,12,5.53411891364,5.64370604403,0.660157278787,16,16,51,61,-0.00836827408755723,0.24267994853916,-0.133333333333333,-0.0833333333333333,0.132651358702893,0.349005756767762,-0.0768929050933526,0.0942243638807625
"a_q_u_a_r_i_u_s",3132.26614983,142,59,5.39704186752,5.50054798806,0.69303364707,61,62,182,187,-0.0312072842326075,0.0576881104042804,0.147276481729323,0.0576881104042804,0.196525143189521,0.29354002678601,0.177317484888746,0.257999242860889
"A_Silver_Voice",2839.83542583,107,44,5.32967491758,5.31185977362,0.734463295764,28,28,193,202,-0.201591511936339,-0.0477453580901857,0.241059814095803,0.304636028802388,0.250702101334956,0.272452866545731,0.253455747188797,0.288206974850154
"a_spiral_eye",1837.13021458,73,29,5.2199447837,5.29842511829,0.786243416772,11,11,71,75,0.163636363636364,0.366987921708787,-0.0181818181818182,0.293590337367029,0.205324878062012,0.185907801791732,-0.0153195172472664,-0.0671940333021064
"a_tommi",1592.81022065,58,27,5.64900730711,6.0515047202,0.890140250148,17,17,58,63,-0.294117647058824,-0.251858761652033,-0.0294117647058824,0,0.329903208141434,0.354911009538176,0.0780871813765962,0.148284736861841
"A1Hellion",1087.09637118,42,19,5.50803470447,5.63376629964,0.703396204345,37,38,129,139,-0.0121032207021933,0.100304414707211,0.021021021021021,-0.0361994656093334,0.406742809663963,0.317792013498625,-0.0881479704272042,-0.0785191365316311
"a1phanumeric",3105.48446015,99,58,5.0706124404,5.15581107156,0.791060171788,72,76,147,226,0.119122339361763,0.0784213768634558,0.00901078222227515,0.0201954937909437,0.0929148260473304,0.114512333004146,0.170802328726676,0.0583779536124869
"a3df6c",720.22731854,33,13,5.69512090933,5.84808348985,0.677137744953,18,18,81,88,-0.0524592983576422,0.0592105263157895,0.26797385620915,0.170492719662337,0.240643411341465,0.363584936734241,-0.0479060886771178,-0.179789043346933
"a3dmofo",1483.95146743,70,28,5.47621027624,5.6838155234,0.786720213743,34,35,118,123,0.064459016422956,0.144471458152257,0.039391621147362,0.202991542467095,0.0554065162117641,-0.0521531563907194,0.0598985174752375,0.0607438293587493
"a7sean",2197.41324877,101,35,5.35691183854,5.45905001324,0.736089369842,32,33,67,77,0.00201816449873534,0.204663213781783,-0.159434995400092,-0.0952393173043941,0.22005900447401,0.14919504288246,0.00181118522200831,0.04639601943296
"A7thWonder",1726.48529118,68,29,4.96918393846,5.10122794682,0.806139925238,25,25,79,92,0.090150376044714,0.160536014901756,-0.0968281816776558,-0.0735790068299716,0.213021597222523,0.261591605008016,0.0782467573709078,0.133702363571499
"a911forpeace",1771.44485474,72,29,5.22914999603,5.23757008936,0.738307886843,32,33,81,91,0.121212368559315,0.160083107809513,0.0767678334208994,0.0182373160795648,0.2375289603617,0.308551666453647,0.0972672637915703,0.154228209878497
"aacisseJ",787.520515472,42,14,5.64073834875,5.75810990173,0.600544350819,15,15,83,94,-0.0285714285714286,-0.180952380952381,-0.161904761904762,-0.161904761904762,0.200148964132062,0.19227950311955,0.143466131838742,0.0872001555469991
"aadakaulitz",623.210322786,31,12,5.70329386791,5.73809950336,0.587810064824,11,11,61,68,0.2,0.381818181818182,0.309090909090909,0.127272727272727,0.334426229508197,0.304314856449007,0.0502732240437158,-0.00222127632444531
"aahs",1962.48469812,89,37,5.54257091109,5.56879187742,0.568354734062,24,24,123,134,0.376811594202899,0.408770013731649,0.0289855072463768,0.0218983935927669,0.0695130482704401,0.128701107403753,0.0353569247440818,0.00736582820729078
"aakashamin",1943.56442657,77,36,5.63362051214,5.66144188696,0.554814079674,64,64,128,141,0.0406746031746032,0.100447849013433,0.100198412698413,0.117354912708763,0.190282734049796,0.212677718334614,0.0918719657705783,0.179709639244999
"Aakepaake",3152.66092107,142,67,5.58753489159,5.8485496156,0.771819920355,11,11,63,66,-0.236363636363636,-0.272727272727273,0.2,0.0909090909090909,0.356831874749858,0.350797762265182,-0.0656242528275601,-0.0703649977018008
