"","user","fam_novid","fam_conhec","pop_novid","pop_conhec"
"129","aboveandbeyond2",0.0158856374301345,0.0275302994146789,0.445856890539108,0.231513122334033
"130","AboveJesus",-0.0351907671538893,0.0733659982612976,0.211144602923336,0.0050185210537044
"131","abrader",0.0973217722956139,0.0498832375756744,0.0792153960545695,-0.100878028171704
"132","Abraxas0815",0,0.0995321229978906,0.179487179487179,0.00595491334175414
"133","Abraxas218",-0.0952394283487992,0.0868084325301874,-0.178947368421053,0.249700925644714
"134","abraxasmalfoy",0.435897435897436,0.265458713898027,0.538461538461538,-0.0640352183456246
"135","abresaporta",0.281045751633987,0.25682603205413,-0.0196078431372549,-0.10068263050627
"136","absolute-girl",0.304861470628628,0.247975715733997,0.117254411780241,0.303593106665277
"137","Abyss460498333",0.090000055555607,0.132363280940286,0.300443643617617,0.0779098911729214
"138","abyssofnight",0.250338524190279,0.232738487098518,0.208249245178529,0.14239637565547
"139","acaseofyou713",0.071554819953666,0.277565104440049,0.188374051097771,0.0807340808587641
"140","accessrequired",-0.0372293593882327,0.167992379702986,0.118457052598922,0.0487078497363688
"141","AceAzzameen",0.0356275420438125,0.0570659403127587,-0.0623104003321692,0.124901621835001
"142","acethegirl",0.134653729347831,0.0986202241921761,0.0950496913043515,0.00542863619406474
"143","acfox",0.238095238095238,0.302874132804757,0.142857142857143,0.286280371915097
"144","Achajkaa",0.236363636363636,0.319204924482241,0.0181818181818182,0.160187086644934
"145","AChemicalFan",0,0.188582207062476,-0.115789473684211,-0.00655124292524731
"146","Achil",-0.153846153846154,0.161791928915217,0.256410256410256,-0.129951869677897
"147","achr",-0.0585779186129006,0.315781296313315,0.15,-0.0414686206156643
"148","acid_orchid",0.096822999893482,0.294372294372294,0.0121028749866852,0.058187065880096
"149","AcidAmmo",0.0790768142892088,0.152703094045727,-0.0299018195915814,-0.00512426490086332
"150","AcidBarret",0.15271810727966,0.253170003697621,0.102649109983815,0.176192538830384
"151","AcideRomantique",-0.230769230769231,0.146016858213242,0.120879120879121,-0.079467619885491
"152","acidpink",0.441995696087864,0.238512070699418,0.010989010989011,0.0202351722449341
"153","acidstorage",0.0938420457437049,0.239631850000485,0.269795881513152,0.326566793520813
"154","Ackibear",-0.0561660980335164,0.244697898680373,0.0048840085246536,0.128702752322686
"155","ackoolness",0.239537474729802,-0.0581351494801953,0.230681888482611,-0.000754432343376852
"156","Ackrandy18",-0.209486166007905,0.377047601957296,0.0909090909090909,0.0558928401443379
"157","AColdDayInHell",0.0929716006360793,0.10309647169383,0.00127179488521798,0.145461543336071
"158","acollopy2",0.282051282051282,0.0472412580303202,0.256410256410256,0.0151433229286121
"159","acquaman7",0.103837501178354,0.249733333257441,0.0300752219743784,-0.0734102180933821
"160","AcquireCurrency",0.204349757568273,0.246295382180263,-0.169566820109844,0.0659172288407759
"161","acraft",-0.16393687387049,0.280688915876536,0.0692177911897626,0.0916086540067022
"162","acromusic",0.0459770220035711,0.193351006897095,0.00405405775571549,0.0531263514277999
"163","actiondatsun",0.116883116883117,0.0506489420755335,0.0822510822510823,0.158911055761986
"164","Activator13",0.13015215002824,0.0332310849302983,0.0954449100207092,-0.000255525796356703
"165","AcydoMoralez",0.163636363636364,0.308006638741606,0.127272727272727,0.198529478021778
"166","Ad_Noctum",-0.0409356725146199,0.00433213109310213,0.00584795321637427,0.0558229324964245
"167","adaalbertojr",0.422222222222222,0.177314844506009,-0.377777777777778,0.207511181441314
"168","adah88",0.276153044889389,0.337000168500126,-0.0585779186129006,0.205666769500077
"169","adaiaslopes",0.231374388493339,0.037218662273258,-0.0693802035152636,-0.0233864228418941
"170","adam_albrecht",0.0152676204138115,0.14387885160488,0.351155269517664,-0.0563261924498564
"171","adam1095",0.359835785764961,0.20122365832485,-0.276153044889389,0.0700970887001054
"172","adam704",0.126829435956798,0.138669672459468,0.04487810810779,0.0546112223585549
"173","adam85k",0.0545454545454545,0.068424821372192,0.0181818181818182,0.22934496203874
"174","adamchellberg",-0.103838688966293,0.348036077278305,0.036738181112804,0.153227122321027
"175","adamconyne",0.0739600261633639,0.437063043929556,-0.265023427085387,0.139160873187171
"176","AdamdangA",-0.0147058823529412,0.246654484917954,-0.132352941176471,0.112806576109668
"177","adamepyare",0.123357493714989,0.225260993465795,0.262096774193548,0.155496773325611
"178","adameq666",0.296703296703297,0.377930408345735,0.120879120879121,-0.111274123393314
"179","adamfaux225",0.18423560064702,0.0690690690690691,0.106262050888,-0.165165165165165
"180","adamnray",0.276190476190476,0.0045045069382056,0.304761904761905,-0.0287595442977742
"181","adamohio",-0.0089126559714795,0.151497383722586,0.0409982174688057,0.188295197856755
"182","AdamQuann",0.16762751093923,0.273799423727389,-0.027494459466223,0.0890269211983179
"183","adams92",0.0909090909090909,0.289589084569579,-0.212121212121212,0.116116717725153
"184","Adamsik",0.164895949766808,0.30115992641996,0.169312169312169,-0.259734902153115
"185","adamtoremember",-0.272727272727273,0.272525763127386,-0.0909090909090909,0.110963258602356
"186","AdamWGolen",-0.0471870105616408,0.244613868259614,0.166666666666667,0.0369174839633423
"187","Adanedhel",0.0606060606060606,0.193948718545931,0.424242424242424,0.0191136967767713
